Time,S1_N,S2_N,S3_N,S4_N,Total_N,Accel_X,Accel_Y,Accel_Z,Real_Hz
00:02.9,0,0,0,0,0,1.02,9.3,5.92,20
00:03.1,0,0,0,0,0,0.98,9.3,5.88,5
00:03.2,0,0,0,0,0,1.02,9.22,5.88,8.8
00:03.3,0,0,0,0,0,1.14,9.02,5.96,9.4
00:03.5,0,0,0,0,0,0.9,10.08,5.22,5
00:03.6,0,0,0,0,0,1.41,10.12,5.73,8.8
00:03.7,0,0,0,0,0,-0.2,9.81,4.59,9.3
00:03.9,0,0,0,0,0,1.57,9.73,5.18,5
00:04.0,0,0,0,0,0,1.53,8.2,6,8.6
00:04.1,0,0,0,0,0,1.33,8.04,8.47,9.1
00:04.2,0,0,0,0,0,0.82,9.77,5.61,20
00:04.4,0,0,0,0,0,0.9,9.26,5.81,5.1
00:04.5,0,0,0,0.21,0.21,1.06,9.14,5.77,8.8
00:04.6,0,0,1.55,2.87,4.42,0.67,9.34,5.96,9.3
00:04.8,0.44,1.32,5.35,5.87,12.97,0.55,9.06,6.12,5
00:04.9,0.3,1.85,17,8.98,28.14,1.02,9.1,6,8.7
00:05.0,0,1.22,21.81,21.39,44.41,1.06,9.14,6.2,9.3
00:05.2,0,0,23.76,26.22,49.98,1.06,8.83,5.57,5
00:05.3,0,0,23.56,29.96,53.51,0.98,9.38,6.04,8.1
00:05.4,0,0,23.87,32.18,56.05,0.98,9.18,6.08,9.3
00:05.6,0,0,24.03,31.64,55.67,1.06,9.14,6.12,5
00:05.8,0.53,0.97,24.77,27,53.27,1.26,9.34,6.12,8.8
00:05.9,2.28,2.49,5.58,0,10.35,0.16,14.67,7.77,9.3
00:06.1,0,0,0.74,0,0.74,-2.63,5.65,-0.63,5
00:06.2,0,0,0,0,0,2.16,10.12,6.98,8.8
00:06.3,0,0,0,0,0,3.88,10.79,10.94,9.3
00:06.5,0,0,0,0,0,0.86,9.69,9.73,5
00:06.6,0,0,0,0,0,1.06,8.83,5.96,8.6
00:06.7,0,0,0,0,0,0.55,9.45,6,9.3
00:06.9,0.13,1.26,2.8,1.3,5.49,0.86,9.18,6,5.1
00:07.0,1.46,2.96,7.39,4.36,16.17,0.78,9.18,6.08,8.8
00:07.1,2.35,4.35,22.63,7.53,36.87,0.82,9.14,6.16,9.2
00:07.3,2.23,4.37,29.27,18.4,54.26,0.78,9.18,6.12,5.1
00:07.4,1.43,3.48,29.84,20.66,55.41,0.82,9.18,6.04,8.8
00:07.6,0.88,2.9,27.55,20.73,52.06,0.9,9.22,6.04,9.2
00:07.8,0.67,2.53,26.02,18.9,48.12,0.9,9.14,6.08,5
00:07.9,1.15,2.39,24.2,17.3,45.04,0.94,9.26,6.04,8.5
00:08.0,1.88,2.31,22.57,8.57,35.33,0.9,9.26,6.04,9.3
00:08.2,2.45,3.2,21.46,6.42,33.53,0.82,9.3,6.16,5
00:08.3,3.27,4.52,19.49,3.99,31.27,1.02,9.1,6.32,8.8
00:08.4,4.08,5.8,8.75,0.97,19.6,1.06,9.22,6.43,9.3
00:08.6,5.52,7.85,4.69,0,18.07,1.29,8.71,6.75,5
00:08.7,6.88,17.98,3.96,0,28.82,1.1,8.04,6.86,8.7
00:08.8,7.65,22.03,5.93,0,35.61,0.59,8.36,7.18,9.3
00:09.0,6.45,25.09,8.73,0,40.27,0.86,8.47,6.47,5
00:09.1,4.59,25.72,22.35,0,52.67,1.33,9.1,6.63,8.3
00:09.2,3.99,26.05,27.39,0,57.44,1.14,8.83,6.51,9.3
00:09.4,3.13,24.67,30.66,0,58.47,0.94,9.49,6.51,5
00:09.6,3.94,25.07,25.16,0,54.17,1.33,8.79,6.59,8.8
00:09.7,4.09,24.02,8.03,0,36.13,1.22,8.55,6.59,9.3
00:09.9,2.88,21.37,6.89,0,31.15,1.06,9.3,6.71,5
00:10.0,3.73,22.36,3.56,0,29.65,1.49,9.69,7.22,8.7
00:10.1,4.68,21.98,0.19,0,26.86,0.75,8.71,7.65,9.3
00:10.3,6.65,21.97,0,0,28.62,1.1,7.06,8.39,5
00:10.4,17.28,23.23,0,0,40.51,1.29,6.04,8.9,8.1
00:10.5,21.87,26.04,0,0,47.92,0.43,6.08,9.34,9.3
00:10.7,25.88,29.28,0,0,55.15,0.78,6,9.65,5
00:10.8,28.63,31.8,0,0,60.44,0.9,6.12,9.81,8.8
00:10.9,30.51,33.56,0,0,64.08,0.35,5.53,9.77,9
00:11.1,31.53,34.51,0,0,66.05,0.78,6.16,9.61,5
00:11.3,31.4,35.78,0,0,67.18,0.86,5.96,9.1,8.8
00:11.4,29.76,37.73,0,0,67.49,0.24,6.9,8.94,9.2
